carat,cut,color,clarity,price,len,wid,dep
0.31,Ideal,G,VVS2,931,4.35,4.33,2.69
1.25,Premium,H,VS2,5902,6.9,6.84,4.25
1.17,Ideal,J,SI1,4883,6.74,6.77,4.21
0.34,Ideal,D,SI1,626,4.51,4.54,2.74
0.41,Very Good,G,SI1,735,4.77,4.84,2.9
1.22,Premium,J,VS1,5910,6.92,6.85,4.25
0.72,Premium,E,IF,3951,5.74,5.71,3.51
0.3,Ideal,F,IF,886,4.33,4.36,2.71
0.7,Very Good,H,SI2,1895,5.68,5.74,3.48
0.52,Ideal,G,VS1,1803,5.13,5.16,3.18
1.02,Ideal,G,SI1,4044,6.42,6.37,3.99
1.04,Premium,F,SI2,4717,6.6,6.55,3.96
0.41,Ideal,E,VVS2,1243,4.77,4.72,2.98
1.21,Premium,H,SI2,5421,6.75,6.7,4.21
1.51,Premium,H,VS2,11540,7.35,7.33,4.42
1.02,Ideal,G,SI1,4708,6.57,6.54,3.95
1.02,Ideal,E,VVS2,10384,6.55,6.5,4.01
0.52,Ideal,G,VS1,1665,5.16,5.18,3.19
2.1,Ideal,H,SI1,15035,8.3,8.19,5.09
0.34,Premium,D,SI1,626,4.42,4.45,2.78
1.05,Ideal,H,SI1,4937,6.43,6.52,4.05
1.1,Premium,F,VS1,7762,6.7,6.64,4.06
0.51,Premium,E,SI1,1593,5.14,5.11,3.15
0.3,Very Good,G,VS1,725,4.26,4.21,2.69
1.51,Good,H,SI2,8243,7.29,7.37,4.47
1.59,Premium,G,SI1,10996,7.45,7.43,4.62
0.61,Ideal,G,VVS1,2544,5.39,5.43,3.39
0.72,Very Good,G,VVS2,2889,5.68,5.72,3.56
0.25,Very Good,E,VS2,404,4,4.03,2.54
1.82,Premium,H,VS2,14749,7.78,7.74,4.78
0.57,Ideal,G,VS1,1851,5.34,5.36,3.28
0.5,Ideal,H,IF,1844,5.1,5.13,3.19
0.39,Premium,J,VS1,790,4.71,4.66,2.86
2.33,Premium,J,SI1,11638,8.6,8.56,5.24
0.31,Ideal,D,VS2,734,4.29,4.32,2.69
0.55,Ideal,H,SI2,1037,5.24,5.27,3.29
0.4,Ideal,E,VVS2,1158,4.71,4.78,2.95
0.71,Very Good,G,VS2,2382,5.56,5.6,3.6
1.5,Good,I,SI1,8258,7.31,7.34,4.62
0.31,Ideal,G,VS2,544,4.29,4.34,2.69
0.31,Ideal,H,VS2,489,4.35,4.37,2.71
0.71,Premium,E,VS2,2711,5.68,5.72,3.54
1.01,Very Good,H,VS1,5055,6.46,6.5,3.86
0.51,Very Good,G,VVS2,1750,5.06,5.12,3.2
1,Premium,H,SI1,4788,6.38,6.35,3.9
1.24,Ideal,H,SI1,6488,6.9,6.95,4.22
0.36,Ideal,F,VVS2,896,4.58,4.61,2.82
